,location,best_energy_per_sqft,worst_energy_per_sqft,variance_energy_per_sqft
126,morrison tower,75.82645706435643,5254.316239742144,774769.9145625425
59,field hockey and outdoor tennis office,0.0032004564235074626,0.006036480543710022,1.6172756532207185e-07
189,telecommunications network center,0.0008993769937056649,0.0013144383310020984,6.077872815492375e-09
45,dodd hall,0.00042886623436095943,0.0010437684981336836,5.2282540697441226e-09
87,ice rink,0.00036616025347883404,0.0014047961220887651,1.0627226166859927e-07
135,ornamental plant germplasm center,0.0003329046035284464,25060.23265030897,91098402.58906837
92,jennings hall,0.00030965435563367764,0.0008597492309025618,1.6557070377453217e-08
206,woody hayes athletic center,0.0002777752935254142,0.001097643701973616,2.6464435747636054e-08
172,satellite communications facility,0.00026580917180511185,0.0006176052776357828,5.290680536265571e-09
51,electroscience laboratory complex,0.0002471183346845519,0.00046086439803213444,1.377447438419192e-09
118,mccracken power plant,2.7578035626736397e-11,39709233534891.32,8.848851894048266e+24
31,celeste laboratory of chemistry,2.930378025564319e-09,2971310.2566970903,421459144611.7685
119,mcpherson chemical laboratory,1.4851445041262609e-07,2015128.7976905855,489884807624.26715
53,energy advancement and innovation center,1.618306634426477e-08,754592.3770823032,14581092968.676777
137,osu electric substation,9.399319885524373e-06,82533.23485967504,2102053.1886304147
204,wiseman hall,7.261205260751902e-05,44767.30185500292,238621403.9555518
60,fisher hall,7.723655752105167e-06,39636.758901252804,262466065.50772336
44,doan hall,2.007990319899123e-08,34215.272423121794,58179103.84197563
180,sisson hall,9.79751043314535e-05,34024.206395465306,62277692.375093915
171,ross heart hospital,9.488138083699734e-05,32650.67776426201,32420604.048691772
